utt1,utt2,score,label,clean_utt1,clean_utt2
/Users/abc/Documents/study/dga/data/train-clean-100/6209/34601/6209-34601-0016.flac,/Users/abc/Documents/study/dga/data/train-clean-100/26/495/26-495-0001.flac,-0.045777980238199234,0,6209,26
/Users/abc/Documents/study/dga/data/train-clean-100/3879/174923/3879-174923-0007.flac,/Users/abc/Documents/study/dga/data/train-clean-100/8312/279791/8312-279791-0046.flac,0.20507831871509552,0,3879,8312
/Users/abc/Documents/study/dga/data/train-clean-100/3982/178459/3982-178459-0001.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3982/178459/3982-178459-0052.flac,0.6170516610145569,1,3982,3982
/Users/abc/Documents/study/dga/data/train-clean-100/6529/62556/6529-62556-0015.flac,/Users/abc/Documents/study/dga/data/train-clean-100/8580/287364/8580-287364-0013.flac,-0.11367861181497574,0,6529,8580
/Users/abc/Documents/study/dga/data/train-clean-100/78/369/78-369-0044.flac,/Users/abc/Documents/study/dga/data/train-clean-100/8580/287363/8580-287363-0021.flac,0.2823129892349243,0,78,8580
/Users/abc/Documents/study/dga/data/train-clean-100/4018/103416/4018-103416-0033.flac,/Users/abc/Documents/study/dga/data/train-clean-100/4018/107312/4018-107312-0009.flac,0.8358232378959656,1,4018,4018
/Users/abc/Documents/study/dga/data/train-clean-100/5192/19396/5192-19396-0013.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3723/171631/3723-171631-0060.flac,-0.054485026746988297,0,5192,3723
/Users/abc/Documents/study/dga/data/train-clean-100/2989/138028/2989-138028-0008.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3879/174923/3879-174923-0049.flac,0.056303899735212326,0,2989,3879
/Users/abc/Documents/study/dga/data/train-clean-100/5192/19396/5192-19396-0012.flac,/Users/abc/Documents/study/dga/data/train-clean-100/5192/19397/5192-19397-0057.flac,0.7646193504333496,1,5192,5192
/Users/abc/Documents/study/dga/data/train-clean-100/302/123504/302-123504-0002.flac,/Users/abc/Documents/study/dga/data/train-clean-100/302/123523/302-123523-0017.flac,0.7495378255844116,1,302,302
/Users/abc/Documents/study/dga/data/train-clean-100/8108/274318/8108-274318-0032.flac,/Users/abc/Documents/study/dga/data/train-clean-100/8108/280359/8108-280359-0017.flac,0.8622968196868896,1,8108,8108
/Users/abc/Documents/study/dga/data/train-clean-100/298/126791/298-126791-0065.flac,/Users/abc/Documents/study/dga/data/train-clean-100/481/123720/481-123720-0025.flac,0.08210505545139313,0,298,481
/Users/abc/Documents/study/dga/data/train-clean-100/3982/182255/3982-182255-0018.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3699/175950/3699-175950-0015.flac,0.06925202161073685,0,3982,3699
/Users/abc/Documents/study/dga/data/train-clean-100/3723/171115/3723-171115-0011.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3240/131232/3240-131232-0008.flac,0.06953339278697968,0,3723,3240
/Users/abc/Documents/study/dga/data/train-clean-100/2391/145015/2391-145015-0061.flac,/Users/abc/Documents/study/dga/data/train-clean-100/2391/145015/2391-145015-0070.flac,0.8450065851211548,1,2391,2391
/Users/abc/Documents/study/dga/data/train-clean-100/2764/36616/2764-36616-0016.flac,/Users/abc/Documents/study/dga/data/train-clean-100/458/126294/458-126294-0001.flac,-0.03793461620807648,0,2764,458
/Users/abc/Documents/study/dga/data/train-clean-100/8108/274318/8108-274318-0006.flac,/Users/abc/Documents/study/dga/data/train-clean-100/78/368/78-368-0007.flac,0.13118910789489746,0,8108,78
/Users/abc/Documents/study/dga/data/train-clean-100/8051/118101/8051-118101-0006.flac,/Users/abc/Documents/study/dga/data/train-clean-100/8580/287363/8580-287363-0017.flac,0.014866655692458153,0,8051,8580
/Users/abc/Documents/study/dga/data/train-clean-100/3486/166446/3486-166446-0015.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3486/166446/3486-166446-0016.flac,0.8740377426147461,1,3486,3486
/Users/abc/Documents/study/dga/data/train-clean-100/1553/140048/1553-140048-0012.flac,/Users/abc/Documents/study/dga/data/train-clean-100/1553/140048/1553-140048-0019.flac,0.8442600965499878,1,1553,1553
/Users/abc/Documents/study/dga/data/train-clean-100/39/121914/39-121914-0042.flac,/Users/abc/Documents/study/dga/data/train-clean-100/7067/76047/7067-76047-0025.flac,0.02726638875901699,0,39,7067
/Users/abc/Documents/study/dga/data/train-clean-100/6531/61334/6531-61334-0099.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3259/158083/3259-158083-0021.flac,0.1605655699968338,0,6531,3259
/Users/abc/Documents/study/dga/data/train-clean-100/3242/67153/3242-67153-0029.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3242/67168/3242-67168-0007.flac,0.5255284905433655,1,3242,3242
/Users/abc/Documents/study/dga/data/train-clean-100/6818/76332/6818-76332-0022.flac,/Users/abc/Documents/study/dga/data/train-clean-100/2159/179156/2159-179156-0028.flac,0.00047356635332107544,0,6818,2159
/Users/abc/Documents/study/dga/data/train-clean-100/3983/5371/3983-5371-0047.flac,/Users/abc/Documents/study/dga/data/train-clean-100/5867/48852/5867-48852-0030.flac,0.19383381307125092,0,3983,5867
/Users/abc/Documents/study/dga/data/train-clean-100/7078/271888/7078-271888-0099.flac,/Users/abc/Documents/study/dga/data/train-clean-100/5463/39174/5463-39174-0013.flac,0.09628754109144211,0,7078,5463
/Users/abc/Documents/study/dga/data/train-clean-100/7780/274562/7780-274562-0045.flac,/Users/abc/Documents/study/dga/data/train-clean-100/7780/274562/7780-274562-0051.flac,0.6731473207473755,1,7780,7780
/Users/abc/Documents/study/dga/data/train-clean-100/4813/248641/4813-248641-0018.flac,/Users/abc/Documents/study/dga/data/train-clean-100/4813/248641/4813-248641-0035.flac,0.8898232579231262,1,4813,4813
/Users/abc/Documents/study/dga/data/train-clean-100/8465/246940/8465-246940-0017.flac,/Users/abc/Documents/study/dga/data/train-clean-100/3807/4923/3807-4923-0022.flac,0.147073894739151,0,8465,3807
/Users/abc/Documents/study/dga/data/train-clean-100/2836/5354/2836-5354-0024.flac,/Users/abc/Documents/study/dga/data/train-clean-100/2518/154825/2518-154825-0014.flac,0.09801498055458069,0,2836,2518
